word	word_count	mean_sent_length	final_count	solo_count
更为	1.0	5.0	0.0	0.0
紧	92.0	5.510869565217392	33.0	0.0
堵塞	1.0	18.0	1.0	0.0
属	17.0	5.0	0.0	0.0
讲讲看	9.0	6.555555555555555	3.0	0.0
石	17.0	5.823529411764706	2.0	1.0
牵牵	3.0	5.0	0.0	0.0
稻草人	4.0	5.5	3.0	2.0
辛苦不辛苦	2.0	3.5	1.0	1.0
意象	2.0	10.5	1.0	0.0
钓竿	1.0	3.0	0.0	0.0
君子兰	1.0	7.0	0.0	0.0
方向	29.0	6.172413793103448	8.0	0.0
conj	340.0	8.529411764705882	0.0	0.0
背包	9.0	7.111111111111111	2.0	1.0
撬	4.0	10.75	0.0	0.0
玩一玩儿	3.0	10.0	3.0	0.0
法文	1.0	7.0	0.0	0.0
建议	9.0	10.11111111111111	1.0	0.0
万能	6.0	5.166666666666667	1.0	0.0
屁股	219.0	5.730593607305936	70.0	3.0
布鲁托	1.0	3.0	0.0	0.0
古时候	4.0	6.75	0.0	0.0
喘气	159.0	9.40880503144654	1.0	0.0
更	296.0	9.25	1.0	1.0
卫生	53.0	6.886792452830188	18.0	0.0
high	1.0	3.0	0.0	0.0
铺	723.0	8.8865836791148	322.0	0.0
看	18843.0	6.895451891949265	3015.0	132.0
抽签	4.0	8.25	0.0	0.0
ge1de	1.0	8.0	0.0	0.0
适当	1.0	5.0	0.0	0.0
火车站	1.0	8.0	1.0	0.0
年纪	10.0	7.1	3.0	0.0
提倡	1.0	2.0	0.0	0.0
甘蓝	8.0	4.375	4.0	0.0
神仙	22.0	7.045454545454546	1.0	0.0
面条	29.0	4.724137931034483	13.0	6.0
many	2.0	4.0	1.0	0.0
蘸蘸	2.0	3.5	0.0	0.0
埔心	4.0	3.75	0.0	0.0
要命	1.0	4.0	0.0	0.0
再见	201.0	3.3134328358208953	128.0	52.0
都	7263.0	7.8829684703290654	27.0	3.0
闻一闻	20.0	6.95	3.0	2.0
文章	8.0	7.75	3.0	0.0
mia	3.0	3.0	1.0	0.0
鞋鞋	52.0	4.673076923076923	16.0	0.0
chi	3.0	7.666666666666667	0.0	0.0
pasi	1.0	2.0	0.0	0.0
电灯	11.0	9.909090909090908	2.0	0.0
黄黄	11.0	6.636363636363637	0.0	0.0
越过	1.0	6.0	0.0	0.0
清清	6.0	8.0	0.0	0.0
街	57.0	7.701754385964913	1.0	0.0
云云	2.0	3.0	1.0	1.0
这些	1029.0	8.02721088435374	28.0	8.0
熊	1164.0	7.957903780068729	96.0	14.0
小巴	5.0	8.6	3.0	0.0
滑轮	1.0	11.0	0.0	0.0
溼	5.0	5.8	0.0	0.0
重启	1.0	4.0	1.0	0.0
花花草草	4.0	8.0	2.0	0.0
擦擦看	2.0	2.0	2.0	0.0
滋啦	5.0	8.6	0.0	0.0
应该	880.0	7.028409090909091	4.0	0.0
找到	414.0	5.731884057971015	27.0	3.0
身份证	3.0	4.0	0.0	0.0
龙舟	1.0	2.0	0.0	0.0
小毅	116.0	6.0	10.0	3.0
时历	1.0	4.0	1.0	0.0
乐高	6.0	8.666666666666666	0.0	0.0
何妍辰	1.0	8.0	0.0	0.0
宝贝	224.0	7.486607142857143	52.0	5.0
妖魔鬼怪	2.0	4.0	2.0	1.0
虎	2.0	14.0	0.0	0.0
有时候	241.0	8.174273858921161	5.0	1.0
中国	52.0	6.384615384615385	2.0	0.0
只不过	3.0	7.0	0.0	0.0
作者	13.0	6.769230769230769	2.0	1.0
