word	word_count	mean_sent_length	final_count	solo_count
respeto	6.0	8.333333333333334	4.0	0.0
tschss	1.0	5.0	0.0	0.0
alemán	2.0	11.0	1.0	0.0
prueba	47.0	5.1063829787234045	12.0	3.0
aceite	26.0	5.0	14.0	1.0
abordarlo	1.0	5.0	0.0	0.0
pegale	1.0	3.0	1.0	0.0
imaginamos	6.0	6.833333333333333	3.0	0.0
bola	237.0	7.843881856540085	131.0	3.0
brillos	1.0	28.0	0.0	0.0
enfadica	5.0	3.6	4.0	1.0
obelix	1.0	7.0	0.0	0.0
según	23.0	10.347826086956522	0.0	0.0
depresiva	1.0	7.0	1.0	0.0
dejarían	1.0	5.0	0.0	0.0
entretenint	1.0	29.0	0.0	0.0
pido	35.0	6.885714285714286	8.0	0.0
ciencias	24.0	7.458333333333333	13.0	1.0
sirvió	2.0	8.0	2.0	1.0
gorrito	15.0	5.133333333333334	8.0	0.0
llevo	109.0	7.201834862385321	35.0	0.0
religiosísimos	1.0	2.0	1.0	0.0
mágicos	3.0	4.666666666666667	1.0	0.0
sab	1.0	3.0	1.0	0.0
gabarra	2.0	3.0	2.0	0.0
elástico	2.0	3.5	2.0	0.0
puntitos	30.0	7.733333333333333	14.0	1.0
cuajadas	1.0	4.0	1.0	0.0
altavoces	1.0	7.0	0.0	0.0
entorno	16.0	16.0	1.0	0.0
esperad	2.0	8.0	0.0	0.0
gordísima	1.0	13.0	1.0	0.0
curarles	1.0	10.0	1.0	0.0
cursillo	1.0	15.0	0.0	0.0
ijole	3.0	4.666666666666667	1.0	1.0
soltaba	1.0	5.0	0.0	0.0
hilito	1.0	4.0	0.0	0.0
tururú	12.0	4.0	12.0	6.0
pin_y_pones	1.0	6.0	1.0	0.0
demasiadas	2.0	13.5	0.0	0.0
teníais	13.0	9.538461538461538	0.0	0.0
aulla	1.0	1.0	1.0	1.0
profeso	1.0	7.0	1.0	0.0
agarradores	1.0	14.0	0.0	0.0
lanita	2.0	13.5	1.0	0.0
tranquila	21.0	5.809523809523809	14.0	2.0
saludaste	1.0	4.0	1.0	0.0
llenaste	1.0	15.0	0.0	0.0
ordenes	2.0	14.0	0.0	0.0
toman	20.0	7.35	0.0	0.0
cruzaba	3.0	19.0	0.0	0.0
porquete	1.0	1.0	1.0	1.0
aaay	1.0	1.0	1.0	1.0
portas	11.0	18.636363636363637	1.0	0.0
cuanta	9.0	5.555555555555555	0.0	0.0
búscamela	1.0	4.0	0.0	0.0
pile	2.0	3.5	2.0	0.0
flora	1.0	13.0	0.0	0.0
ambos	1.0	12.0	1.0	0.0
cansé	1.0	8.0	0.0	0.0
raó	2.0	3.5	1.0	0.0
salpica	2.0	7.0	0.0	0.0
mételó	1.0	16.0	0.0	0.0
inmerso	1.0	6.0	1.0	0.0
victoria	20.0	5.75	11.0	1.0
pintareu	1.0	4.0	0.0	0.0
telefonillo	3.0	8.666666666666666	2.0	0.0
limpias	16.0	8.3125	5.0	0.0
goloso	3.0	3.0	1.0	0.0
finitos	1.0	7.0	0.0	0.0
falsas	1.0	4.0	1.0	0.0
ja	98.0	5.316326530612245	41.0	8.0
mándale	1.0	8.0	0.0	0.0
supiera	2.0	11.0	0.0	0.0
planean	2.0	3.5	0.0	0.0
larala	2.0	1.5	2.0	1.0
asustan	21.0	6.809523809523809	8.0	0.0
cuidadores	1.0	12.0	0.0	0.0
jugaís	4.0	5.75	3.0	0.0
creaba	5.0	6.2	0.0	0.0
daré	25.0	8.16	6.0	0.0
enamoró	1.0	5.0	0.0	0.0
curar	46.0	6.630434782608695	22.0	1.0
misi	125.0	5.656	81.0	16.0
desabrocha	3.0	5.666666666666667	1.0	0.0
pivotillo	1.0	6.0	0.0	0.0
ornela	2.0	4.0	1.0	0.0
enfocada	1.0	10.0	0.0	0.0
zagal	3.0	4.0	2.0	0.0
rosario	2.0	6.0	2.0	0.0
atrapar	3.0	4.666666666666667	2.0	0.0
escuecen	2.0	7.0	1.0	0.0
sopica	1.0	4.0	0.0	0.0
enrollas	1.0	6.0	0.0	0.0
nublarse	1.0	3.0	1.0	0.0
funcionamiento	1.0	29.0	1.0	0.0
mátame	1.0	1.0	1.0	1.0
i'll	3.0	7.0	0.0	0.0
enor	2.0	2.0	2.0	1.0
