Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
hammer	hammer	24.4592149329243	-70.8949948983534	271	-2.4034075673005	nouns	6	4.77	5.344
hand	hand	21.5084945471974	-50.1583774821795	882	-0.88025402346341	nouns	4	4.72	8.73313953488372
handschuhe	gloves	25.2419208074235	13.281002599686	80	-4.69274743354452	nouns	10	4.11604316546763	6.73684210526316
handtuch	towel	24.2468496790578	66.1816082894842	222	-3.51814923789849	nouns	8	4.86	6.95121951219512
hart	hard	28.4456889228179	10.856720066611	198	-3.26142939105068	adjectives	4	3.76	7.90566037735849
hase	bunny	20.6939089628174	-59.8065009867628	489	-1.70626836547101	nouns	4	4.97	6.21779548472776
heic	hot	14.5043824915346	-10.4055020406063	0	-7.2317213046028	adjectives	5	4.31	7.44972997156923
helfen	help	24.454964012799	-151.76010556841	441	-1.58981423366468	verbs	6	2.56	6.00827423167849
hemd	shirt	24.6440794767269	21.9111530485561	175	-3.54284185048886	nouns	4	4.94	10.2333333333333
herd	stove	27.1168268833815	47.8496609274872	249	-3.15984959823276	nouns	4	4.96	6.77840909090909
heute	today	27.8585652009791	250.978664569897	1780	-0.0241083772387471	other	5	2.57	8.93603358854038
heute	tonight	29.3604249543734	250.978664569897	1780	-0.0241083772387471	other	5	2.93	8.93603358854038
hier	here	25.8414839893253	287.220505230146	3980	2.18392446055771	function_words	4	3.13	7.25680701468632
himmel	sky	25.1611383739132	32.4531837705527	255	-3.01712761422912	nouns	6	4.45	7.07881773399015
hoch	high	24.9860293294845	-74.291671762851	901	-0.806312178064784	adjectives	4	3.46	6.51943844492441
hof	yard	31.3069990447533	67.3622140670472	214	-3.60294577455857	nouns	3	4.82	9.24778761061947
honig	honey	25.9428771367317	55.240741863013	287	-2.95969556514325	nouns	5	4.88	7
hören	hear	26.253734599618	31.3338576449438	377	-2.38753421814421	verbs	5	3.66	8.89238845144357
huhn	chicken (animal)	23.6748764871311	4.09304271030726	428	-2.09005774810014	nouns	4	4.8	6.29824561403509
hund	dog	20.9243664869012	-118.663220226393	882	-0.764022578498445	nouns	4	4.85	6.35766045548654
igel	hedgehog	24.3167412311982	-21.6332168655819	319	-2.40875517362709	nouns	4	4.93	5.77747989276139
ihm	him	35.1587741586386	313.770541444846	990	-1.38817688757144	function_words	3	3.54	9.81352657004831
ihnen	them	40.7414325112551	202.528452493443	560	-2.33886904616293	function_words	5	3.04	10.6825
ihr	her	34.4649727360505	334.856766511924	2420	0.594189632863006	function_words	3	3	8.77867979771094
in	in	28.2577693320286	493.444890760234	3588	1.58226235162921	function_words	2	3	9.32705742456523
ja	yes	14.4082575810189	181.051347844752	4690	3.18558738067912	other	2	2.14	5.12847457627119
jacke	jacket	20.9848663736856	10.7349461245462	313	-2.58094060736265	nouns	5	4.86	6.86624203821656
jeans	jeans	28.5277661617646	24.7894434521258	85	-4.83382603180443	nouns	5	5	9.54545454545454
jeder	beach	34.0066355261416	203.996417928578	616	-2.1318548767786	function_words	5	4.79	8.95934959349593
jetz	now	26.9821770840458	185.838608525331	2939	1.25336183289521	other	4	1.48	7.23103400798568
joghurt	yogurt	22.2233036165196	39.5627486784657	259	-3.03702876854642	nouns	7	4.9	6.22613065326633
junge	boy	24.1563263072076	39.7707203788796	649	-1.54814153726412	other	5	4.76	7.04195011337869
käfer	bug	25.4742435148744	9.9726079388733	289	-2.69554399010166	nouns	5	5	6.02857142857143
kaffee	coffee	23.658103245542	-39.7534685926938	574	-1.5368674606909	nouns	6	4.81	6.12107623318386
kakao	cacao	24.2882116756547	-44.6538801558109	377	-2.09788557672039	nouns	5	4.11604316546763	5.59135559921415
kalt	cold	22.0598021331841	-172.162350747838	490	-1.4205803116261	adjectives	4	3.85	7.04890219560878
kamera	camera	29.1207829676534	-65.2286238461568	337	-2.16701878923627	nouns	6	5	6.48
kamm	comb (object)	26.4152852175261	-6.24880978543389	74	-4.43851329516028	nouns	4	5	5.85714285714286
kann	can (auxiliary)	27.7958874383484	132.13228015353	2930	1.29634588336532	function_words	4	4.55	8.52815879715115
kaputt	break	24.4460339558218	-369.703834401667	880	-0.387260875992975	verbs	6	3.71	5.81285511363636
kaputt	broken	21.4733401735434	-369.703834401667	880	-0.387260875992975	adjectives	6	4.11	5.81285511363636
käse	cheese	21.1020782477215	37.7163418755525	389	-2.36418685414722	nouns	4	4.7	6.66923076923077
katze	cat	20.3783130949618	-77.8929262501991	919	-0.770253128249081	nouns	5	4.86	6.41666666666667
kaufen	buy	25.0246576860622	-54.2292796211204	555	-1.54814153726412	verbs	6	3.35	7.70748299319728
kein	no	26.3954199891677	175.64186499736	1672	-0.0641691566584164	function_words	4	2.45	6.86298200514139
keks	cookie	19.5572482353855	-6.3663062950896	206	-3.08330952111042	nouns	4	5	6.40526315789474
kind	child	23.1316338829615	93.1917337196422	829	-1.2570638758112	other	4	4.78	8.02203389830508
kindergarten	kindergarten	24.8909200219992	27.3971094415106	647	-1.52239864957098	other	12	3.9	9.02209944751381
kinn	chin	27.5114047639653	22.720453894786	69	-5.19483937734176	nouns	4	4.89	12.0434782608696
kirche	church	28.7799472289917	26.4071900938137	234	-3.11539783566192	other	6	4.9	7.81521739130435
kissen	pillow	23.931638832378	37.5938414566091	264	-2.99279551356959	nouns	6	5	6.87980769230769
kitzeln	tickle	24.7836652975076	-13.8588559127249	64	-4.48018599156085	verbs	7	3.85	5
klatschen	clap	25.3246395506886	-0.511315892595903	126	-3.80854501622187	verbs	9	4.16	7.22826086956522
kleckern	spill	26.6105298793056	15.720453894786	62	-5.19483937734176	verbs	8	4.07	6.39130434782609
kleid	dress (object)	27.4570628849417	35.7012351840527	278	-2.89661158971667	nouns	5	4.93	7.67248908296943
klein	little (description)	24.2631596375887	-62.8162267105363	754	-1.09255540134747	adjectives	5	3.67	7.39971243709561
klettern	climb	26.3209198638122	29.6901395606634	221	-3.23046716544671	verbs	8	4.11	7.73170731707317
klo	bathroom	23.4300366917299	-43.2061912402911	345	-2.21886625376823	nouns	3	4.52	7.92017738359202
knie	knee	24.7489181987762	37.7120663078208	149	-3.98652817141722	nouns	4	5	8.93506493506493
kopf	head	22.4540922677856	47.286514450126	894	-1.03527717680828	nouns	4	4.75	8.50441276306857
krank	sick	25.9854266882176	-56.3944437387855	382	-2.04061802236191	adjectives	5	2.97	7.38775510204082
kriegen	get	28.9319901297025	168.723673507299	755	-1.6065011524497	verbs	7	2.38	8.72956730769231
krokodil	crocodile	24.8081315997345	91.8338071697283	490	-2.18186529735326	nouns	8	4.83	7.3525641025641
küche	kitchen	23.6586990278891	42.3137510813911	551	-1.82007525274776	nouns	5	4.97	8.6875
kuchen	cake	22.1786310926287	8.29865065286378	664	-1.43566355383743	nouns	6	4.81	6.85916919959473
kuh	cow	20.5723218833326	-23.3999047157997	731	-1.21800614856	nouns	3	4.96	7.1678891605542
kühlschrank	refrigerator	25.7395012121924	29.4333744484337	177	-3.59413514487641	nouns	11	5	7.3859649122807
küken	chick	27.7372055365748	0.842818707780935	214	-3.07806016522428	nouns	5	4.93	6.2565445026178
küssen	kiss	25.048303788203	2.81765148017392	52	-5.11145776840271	verbs	6	4.48	6.16
lachen	laugh	25.6587887521359	34.701947629781	203	-3.41035266744278	verbs	6	4.21	7.36496350364964
lampe	lamp	23.023009081306	-5.50234896200868	277	-2.67784441300226	nouns	5	4.97	6.13333333333333
land	country	31.9116407897721	68.9990215708473	223	-3.53454304767417	other	4	4.17	9.91735537190083
langsam	slow	27.4344526961737	41.8402877244864	576	-1.74692437111214	adjectives	7	3.28	6.16597510373444
lastwagen	truck	24.2471111464612	27.4708101605877	151	-3.84169722353877	nouns	9	4.84	7.06741573033708
lätzchen	bib	24.4530059034351	21.8848566970858	161	-3.67637324311338	nouns	8	4.79	6.95238095238095
laut	loud	24.1946027176037	-16.6324754153303	430	-2.01316890652362	adjectives	4	3.73	6.67148014440433
lecken	lick	27.7223891658115	16.8536508592089	81	-4.7468146548148	verbs	6	4.52	7.38888888888889
leer	empty	25.4466950373564	-115.462634245814	349	-1.95530877344281	adjectives	4	3.43	5.58432708688245
leiter	ladder	25.3571077664899	7.09960533091026	320	-2.53124093881038	nouns	6	5	6.89393939393939
lesen	read	25.1704522794789	-16.2403717594991	462	-1.9119686573347	verbs	5	3.56	8.25774877650897
licht	light (object)	22.1077884758887	-1.79583643813771	387	-2.21665141343868	nouns	5	4.21	7.63716814159292
löffel	spoon	21.6367197858964	-37.0474181518531	503	-1.73046309405807	nouns	6	4.96	6.28843537414966
löwe	lion	24.1997586460564	-69.6291995096821	366	-2.04993775431071	nouns	4	4.96	6.41385767790262
luftballon	balloon	23.0450695585897	2.69723694173851	239	-2.93217089175316	nouns	10	4.92	6.08597285067873
machen	make	24.7962865404283	-158.328744462429	2565	1.22465974741668	verbs	6	2.67	7.75494155154091
mädchen	girl	24.3481611389443	40.3005529524282	613	-1.64197887932415	other	7	4.85	7.78206724782067
malen	draw	22.3877368893722	-89.1060392468549	853	-0.862962526353349	verbs	5	3.97	7.136
mantel	coat	30.0765098279596	22.0676148201406	115	-4.23598903104881	nouns	6	4.97	7.75
marmelade	jam	24.1564477808551	22.4333744484337	170	-3.59413514487641	nouns	9	4.71	6.6140350877193
maus	mouse	20.966773238339	-51.1905985354183	842	-0.949454557706792	nouns	4	4.83	6.65046728971963
medizin	medicine	28.0761177783623	39.3151122580657	218	-3.32638728732545	nouns	7	4.79	8.03355704697987
mehr	more	22.9426376878839	201.506600831004	2282	0.589387062266151	function_words	4	2.37	7.94463760363734
mein	my	22.0035234088223	321.439605862786	1606	-0.33907966343071	function_words	4	2.42	7.46869712351946
meiner	mine	24.1709643008402	115.735596395168	457	-2.40607779585638	function_words	6	3.56	7.9144385026738
mensch	man	22.2879542567694	64.3181300142041	759	-1.34654362801277	other	6	4.79	6.0917516218721
messer	knife	22.1498750424111	35.0866907617375	300	-2.76965196225538	nouns	6	4.9	6.54230769230769
mich	me	27.7885520479487	176.367815846329	1665	-0.0737262486447508	function_words	4	4.33	8.18582922398131
milch	milk	19.9597099288313	-89.5625736976466	582	-1.39886178767146	nouns	5	4.92	5.9443359375
mittagessen	lunch	25.5185792064599	42.219444662465	253	-3.09389163044096	other	11	4.31	7.90425531914894
mond	moon	21.3857581545507	-12.3034832583131	367	-2.25269134992187	nouns	4	4.9	6.81880733944954
morgen	tomorrow	26.492748951589	93.0542936207738	989	-0.944482515145699	other	6	2.04	8.4494730316181
motorrad	motorcycle	24.1874764796717	-4.09188202870288	213	-3.05221893404039	nouns	8	4.97	5.50510204081633
müde	tired	23.4812480562872	-143.966531635544	489	-1.48978706398222	adjectives	4	3	6.03101604278075
müll	trash	21.4750617195694	-64.7862736535319	397	-1.96386314553947	nouns	4	4.7	6.2680412371134
mund	mouth	20.2940745934033	-73.3173583934719	793	-0.998618623544443	nouns	4	4.74	7.80628272251309
müsli	cereal	28.18390110543	2.22738615430944	147	-3.62080339195857	nouns	5	4.83	5.76576576576577
mütze	hat	21.1830306931276	-16.2697916961898	292	-2.55268127004825	nouns	5	4.88	6.85139318885449
nach	home	21.6438201013164	100.211917839581	1909	0.299652425620451	other	4	4.11	8.12792567446846
nach	out	22.9591529702117	100.211917839581	1909	0.299652425620451	other	4	2.73	8.12792567446846
nach	after	30.2217691039983	100.211917839581	1909	0.299652425620451	other	4	2.12	8.12792567446846
nacht	night	28.0039303384217	46.6178308487321	409	-2.31906641886675	other	5	4.52	8.33578431372549
nagel	nail (object)	28.0144999372853	23.5261712058587	141	-3.91149298547431	nouns	5	4.93	7.34939759036145
name	pet's name	26.6408828380114	-5.1024776290929	333	-2.41953694923038	other	4	4.11604316546763	7.1029810298103
nase	nose	19.410583850082	-99.3052777579951	686	-1.15484387964669	nouns	4	4.89	7.66717674062739
nass	wet (description)	20.0079436745219	-44.245083452883	410	-1.98821217454976	adjectives	4	4.46	7.12676056338028
nehmen	take	26.4656564848775	88.2218659234237	1075	-0.787060246565462	verbs	6	3.06	8.78283898305085
nett	nice	32.8688897370209	-56.6044946382113	247	-2.574591379684	adjectives	4	2.18	7.01582278481013
neu	new	25.3280697964668	28.0814884666055	375	-2.38229860409026	adjectives	3	2.81	7.39164490861619
nicht	not	26.1121771503817	-305.653867484497	3525	2.33269730946485	function_words	5	2.08	9.32789032891966
niedlich	cute	31.9963526982356	2.74621570146418	72	-4.64145413915697	adjectives	8	2.76	6.85
nilpferd	hippopotamus	28.4944734624423	8.59384145660914	235	-2.99279551356959	nouns	8	4.93	5.92788461538461
nudeln	pasta	21.2781165048356	-4.99170902634592	440	-2.01859878411799	nouns	6	4.86	5.85480943738657
öffnen	open (action)	28.052492017168	13.8268105095581	70	-4.92913621160875	verbs	6	3.21	8.16666666666667
ohr	ear	19.6842219287114	32.9606668652319	383	-2.36932825364763	nouns	3	5	7.56958762886598
oma	grandma	14.1327110646456	-69.0749432659882	1011	-0.636851952435733	other	3	4.54	6.897903372835
onkel	uncle	27.479590770235	58.4461946433001	356	-2.60348584568371	other	5	4.24	8.20521172638436
opa	grandpa	15.7766977393932	12.5833241905694	638	-1.50813620265042	other	3	4.39	6.85511982570806
orange	orange (description)	29.1514478491835	-50.264403604832	291	-2.40607779585638	adjectives	6	4.66	5.38502673796791
orange	orange (food)	26.6693000707135	-50.264403604832	291	-2.40607779585638	nouns	6	4.66	5.38502673796791
papa	daddy	5.20297530328213	-82.0993573710273	1418	-0.059552580108235	other	4	4.24	6.79836233367451
papier	paper	24.4666485867916	59.0082909736541	504	-2.01859878411799	nouns	6	4.93	8.13430127041742
park	park	30.9693877081023	39.5830558982015	189	-3.57674340216454	other	4	4.74	8.64655172413793
penis	penis	26.1021796249699	-1.40550204060634	9	-7.2317213046028	nouns	5	5	4.66666666666667
pfannkuchen	pancake	28.0634234945976	54.9493530172095	149	-4.2194597290976	nouns	11	4.86	7.73770491803279
pferd	horse	22.3472168722082	-72.0327334325231	696	-1.18988055016975	nouns	5	5	6.42789223454834
pflanze	plant	30.1537317186869	10.1972983944921	65	-4.96303776328443	nouns	7	4.76	6.24137931034483
pinguin	penguin	26.1362121914312	16.5261712058587	134	-3.91149298547431	nouns	7	5	5.97590361445783
pizza	pizza	24.281263330023	36.4469490519236	278	-2.90098796431647	nouns	5	5	6.84210526315789
pony	pony	29.123980905278	29.5353162110462	159	-3.77645670167037	nouns	4	4.9	6.28421052631579
popo	butt	18.85282671436	10.8017414577287	275	-2.77350553157137	nouns	4	4.75	6.55984555984556
